model,interval,ticker,window,MAE,RMSE,MAPE,sMAPE,error_volatility,directional_accuracy
chronos,15M,RGTI,13,0.8898911328125,1.3396461125052488,8.486693464370232,9.330534823471847,1.0620200933646526,48.818897637795274
chronos,15M,RGTI,14,0.8586409140625,0.9762908117955239,8.072257391115967,7.665923315542744,0.4703833595518666,45.66929133858268
chronos,15M,RGTI,15,0.70573731640625,0.8271179576623123,7.54670327956086,7.16415649843678,0.4703839645298894,51.181102362204726
chronos,15M,RGTI,16,0.7442559960937499,0.8472183827655126,7.932599267691052,8.351781926508268,0.44288920459903963,47.24409448818898
chronos,15M,RGTI,17,0.20625466796875003,0.243383147978884,2.1683213373521957,2.1647845279860154,0.24094822321082768,53.54330708661418
chronos,15M,RGTI,18,0.6027167187500002,0.7160358876924943,7.3319645894298775,6.96642903953477,0.4024171885684008,41.732283464566926
chronos,15M,RGTI,19,0.17808682890625005,0.21898338860753327,2.2574664862566527,2.272176010783756,0.20665081219254403,53.54330708661418
chronos,15M,RGTI,2,0.5353998984374999,0.638700848427891,4.235859691010113,4.111562447422763,0.3750610195916158,48.031496062992126
chronos,15M,RGTI,20,0.45669344140625,0.5325677871405489,5.530874762495714,5.742403683956297,0.2781135959627087,48.031496062992126
chronos,15M,RGTI,21,0.7516924375,0.869391470847356,10.160480523907026,9.491112427728272,0.4378331349142587,48.031496062992126
chronos,15M,RGTI,22,0.5010878593750001,0.5800960625207805,5.958103733528445,5.984681671268093,0.579956876216771,44.881889763779526
chronos,15M,RGTI,23,0.6574633828125,0.7126759955351654,7.089932338390277,7.396195392615246,0.278572290505603,51.181102362204726
chronos,15M,RGTI,24,0.23225183203125016,0.2817244315278834,2.6546354540853723,2.611825857415291,0.2245557149721182,44.09448818897638
chronos,15M,RGTI,3,0.7546132578125,0.8941809670514413,6.571853592316549,6.2792117346344085,0.5022431666935943,47.24409448818898
chronos,15M,RGTI,4,0.3535238749999998,0.4175906985952553,2.948076036609207,3.0090964440830605,0.2345220994156534,45.66929133858268
chronos,15M,RGTI,5,0.6411196523437501,0.737888235388329,5.996319978887269,5.781271387800444,0.5030443299444864,48.818897637795274
chronos,15M,RGTI,6,0.9787272265625,1.0617255001891912,8.871210127060383,8.425340718397024,0.41152649214511716,42.51968503937008
chronos,15M,RGTI,7,1.38723654296875,1.512921463959241,14.668737184066627,13.474683236953567,0.6037434305735209,49.60629921259843
chronos,15M,RGTI,8,0.9936408359375001,1.1355539887897248,11.693762385598651,10.847964835399887,0.5720251484144817,42.51968503937008
chronos,15M,RGTI,9,0.4175344421874999,0.5192002827286404,5.414566009633173,5.248079849886428,0.4876033499689813,49.60629921259843
chronos,15M,SMCI,1,2.4562518515624996,3.0462896591497852,7.637736170454211,8.106274867101947,1.8222077225918751,44.09448818897638
chronos,15M,SMCI,10,1.3185657656249994,1.5470852377550173,3.4790749278957374,3.3966520967109908,0.8667431328109547,47.24409448818898
chronos,15M,SMCI,11,1.2232623984375002,1.5638525684464089,3.3235043348435287,3.235497320875928,1.0291584491703611,45.66929133858268
chronos,15M,SMCI,12,4.0906081015625,4.582272091915107,9.788295536511637,10.417742869463225,2.0649801170411535,47.24409448818898
chronos,15M,SMCI,13,0.9766589296874997,1.1623582855328833,2.4199884791970585,2.393527963284057,1.0885381654868695,51.96850393700787
chronos,15M,SMCI,14,1.2393345,1.8765286959684773,3.1551366904311746,3.0442911304461187,1.5273706969330951,55.118110236220474
chronos,15M,SMCI,15,0.7553089999999998,0.9724159942397339,1.89212728611225,1.9219207559486278,0.6237200089747862,55.118110236220474
chronos,15M,SMCI,16,2.2543564296875,2.4913683504738273,5.395186793599387,5.5773850467158255,1.0850925844655346,48.818897637795274
chronos,15M,SMCI,17,1.3178069375000003,1.8584476419589542,3.4586083258789757,3.3579943631902163,1.7227750457636517,51.96850393700787
chronos,15M,SMCI,18,2.451677953125,2.8728394879863632,7.041447457361842,6.715543491230824,1.577251127209831,47.24409448818898
chronos,15M,SMCI,19,1.2429651171874998,1.3682569902026727,3.604738093629894,3.6753999368577595,0.9259731753645822,48.031496062992126
chronos,15M,SMCI,2,2.4079484453125004,3.30375815632164,6.23196946955794,6.598547147714211,2.400610694985346,44.881889763779526
chronos,15M,SMCI,20,1.6951546874999999,2.0399213832396867,5.188588455350363,5.001038190525504,1.270364490617367,48.818897637795274
chronos,15M,SMCI,21,2.1773661953124996,2.5505005395793496,7.419622402176272,7.081258708596303,1.99665683314709,50.39370078740157
chronos,15M,SMCI,22,1.9056556093750001,2.2044178519151143,5.767689970269196,5.6394922095428335,2.0613285401897468,48.818897637795274
